siret,activitePrincipaleEtablissement,etatAdministratifEtablissement,adresse
03841804200016,81.10Z,A,58 ROUTE DE BALE COLMAR 68000
13000725502038,84.11Z,A,22 RUE LAVOISIER (LOMME) LILLE 59000 CENTRE DES FINANCES PUBLIQUES
01485782500013,81.10Z,A,RUE PAUL DOUMER AURILLAC 15000
21390333900074,36.00Z,A,MOIRANS-EN-MONTAGNE 39260 MAIRIE
21030321000020,85.20Z,A,25 RUE AMPERE YZEURE 03400
04013366200011,81.10Z,A,108 RUE CHAPONNAY LYON 69003
30174185600027,68.20B,A,AVENUE DES NAUDIERES SAINT-HERBLAIN 44800
21560244200018,84.11Z,A,15 RUE DU GENERAL DE KERHUE SERENT 56460
03897771600018,81.10Z,A,70 RUE DE L'UNIVERSITE PARIS 75007 T GARIN
21060022700016,84.11Z,A,1 PLACE DE LA MAIRIE BOUYON 06510 HOTEL DE VILLE
01977005600018,81.10Z,A,42 BOULEVARD FRANCOIS GROSSO NICE 06000
21400303000019,84.11Z,A,9 IMPASSE DE LA GARE SOLFERINO 40210
21410074500113,68.20B,A,PL ST PIERRE DHUIZON 41220 MAIRIE
21590443400028,85.20Z,A,RUE DE LA MAIRIE OCHTEZEELE 59670
29840169600018,42.99Z,A,ILE DE L OISELAY SORGUES 84700
13003169300257,84.24Z,A,1 RUE DE PARME VANDŒUVRE-LES-NANCY 54500
04014975900017,81.10Z,A,12 RUE SAINT JEAN LYON 69005
21400119000138,42.99Z,A,17 RUE VICTOR HUGO HAGETMAU 40700 MAIRIE
26920052300075,86.90D,A,122 RUE HOUDAN SCEAUX 92330
03929051500012,81.10Z,A,3 RUE DU LUNAIN PARIS 75014
21910511100013,84.11Z,A,RUE DU JEU DE PAUME PUSSAY 91740
26380030200451,85.42Z,A,175 AVENUE CENTRALE SAINT-MARTIN-D'HERES 38400
25720086500034,84.11Z,A,MAIRIE DOMFRONT-EN-CHAMPAGNE 72240
21240488300044,68.20B,A,HOTEL DE VILLE SAINT-POMPON 24170
03908211000014,81.10Z,A,88 RUE OBERKAMPF PARIS 75011
18572246900011,94.91Z,A,DONNELAY 57810
21800024800011,84.11Z,A,IMPASSE DU MONT ARGUEL 80140
03895068900018,81.10Z,A,22 RUE ROBERT GIRAUDINEAU VINCENNES 94300
21660146800012,84.11Z,A,14 ROUTE NATIONALE 20 PORTA 66760
26560160900034,88.99B,A,11 PLACE DE LA MAIRIE ROHAN 56580 MAIRIE
21010079800037,36.00Z,A,CHAMPAGNE-EN-VALROMEY 01260 MAIRIE
21450232000135,88.91A,A,RUE D'IVOY OLIVET 45160
20003498100015,87.10A,A,109 ROUTE DE BISE UBINE VACHERESSE 74360 SITE DE VACHERESSE
21620195400023,85.20Z,A,176 RUE DU BOIS CALONNE-SUR-LA-LYS 62350
20009052000012,42.99Z,A,2 PLACE DE LA MAIRIE SCORBE-CLAIRVAUX 86140 MAIRIE
26490190100019,88.99B,A,PLACE DE L'HOTEL DE VILLE SAINT-GEORGES-SUR-LOIRE 49170 MAIRIE
03911256000014,81.10Z,A,83 RUE SAINT-HONORE PARIS 75001
21690140500029,85.20Z,A,CHEMIN DES PETITS DROLES MORANCE 69480
03919033500016,81.10Z,A,118 BOULEVARD MAURICE BARRES NEUILLY-SUR-SEINE 92200
30365637500704,11.01Z,A,276 RUE DE CHATEAUGIRON RENNES 35000
02406863700040,49.32Z,A,02 RES HAWA MAMOUDZOU 97600 I
30238163700024,68.20B,A,LE BOURG MENIL HUBERT SUR ORNE 61430
20000549400022,85.20Z,A,RUE TRUCHOT PAGNY-LA-VILLE 21250
21250208200010,84.11Z,A,GRANDE RUE DURNES 25580
03884519400018,81.10Z,A,14 RUE FELICIEN DAVID SAINT-GERMAIN-EN-LAYE 78100 14-16
21580306500022,85.20Z,A,VERNEUIL 58300
28170025200121,84.25Z,A,90 AVENUE DANIEL HEDDE ROYAN 17200
22370001400713,86.22C,A,3 RUE CHRISTOPHE COLOMB TOURS 37000
17890431400154,84.12Z,A,24 COURS TARBE SENS 89100
09938465300012,47.89Z,A,PL DU MARCHE MAMOUDZOU 97600
21610490100014,84.11Z,A,3 PLACE DE L'ABBE LAUNAY TOURNAI-SUR-DIVE 61160
21870720600049,36.00Z,A,LE BOURG GLANGES 87380 MAIRIE
19211237300761,85.42Z,A,CAMPUS ESPLANADE ERASME DIJON 21000 POLE AAFE
20006056400016,88.99B,A,PL GEORGES BISSON LIVAROT-PAYS-D'AUGE 14140 MAIRIE
21560075000024,85.10Z,A,RUE DOCTEUR VICTOR MOLAC GUER 56380
20010242400013,36.00Z,A,3 RUE FERNAND TOUSSAINT AUDUN-LE-ROMAN 54560
06631128300023,45.32Z,A,RTE SPPM MAMOUDZOU 97600 KAWENI
29550401300018,42.99Z,A,17 RUE PORTE HAUTE LOUPPY-SUR-LOISON 55600 MAIRIE
03910227200018,81.10Z,A,8 RUE DU MIDI NEUILLY-SUR-SEINE 92200 ER JEAN PAUL
26330695300013,88.99B,A,9 AVENUE DE BLANZAC YVRAC 33370 MAIRIE
03925201000010,81.10Z,A,20 RUE DES FRANCS BOURGEOIS PARIS 75003
21520078300086,85.20Z,A,13 RUE PENTHIEVRE CHATEAUVILLAIN 52120
04381323700013,81.10Z,A,34 RUE GAMBETTA SURESNES 92150
03971606300019,81.10Z,A,8 RUE LA FONTAINE UNIEUX 42240
20010146700013,94.91Z,A,45 RUE DE LA REPUBLIQUE HŒNHEIM 67800
21720064100033,84.12Z,A,RUE HENRI MENANT LA CHAPELLE-HUON 72310
26540436800010,88.99B,A,RUE DES ECOLES MORFONTAINE 54920 MAIRIE
03858891900019,81.10Z,A,8 RUE BANNSCHEID BARR 67140 8-10-12
30167218400027,68.20B,A,[ND] [ND] [ND] MONT-SAINT-PERE [ND] [ND]
21760043600026,85.20Z,A,309 RUE DE L’EGLISE AUZEBOSC 76190
30146449100010,94.99Z,A,1 RUE HUMBERT 2 GRENOBLE 38000
30311014200039,68.20B,A,GROSSE MONTAGNE LAMENTIN 97129
21860047600046,42.99Z,A,4 RUE DE LA FONTAINE AMOUR CERNAY 86140 MAIRIE
13000997000117,84.13Z,A,42 RUE DU MARAIS SEQUEDIN 59320
21780361800396,85.10Z,A,7 RUE RENE DUGUAY TROUIN MANTES-LA-JOLIE 78200
20010048500016,85.31Z,A,ROUTE DE LA TUNE LA CAVALERIE 12230
21010404800033,42.99Z,A,SERRIERES-SUR-AIN 01450 MAIRIE
03919706600010,81.10Z,A,1 RUE RENE VIROFLAY 78220 LA ROTONDE
21550541300025,85.20Z,A,RUE SAINTE GENEVIEVE VAVINCOURT 55000
21050046800066,85.10Z,A,BOULEVARD PASTEUR EMBRUN 05200
21870780000031,85.20Z,A,LE BOURG JAVERDAT 87520
21020059800014,84.11Z,A,RUE DE L'EGLISE BEAUVOIS-EN-VERMANDOIS 02590
30284189500014,94.99Z,A,96 RUE JEAN JAURES LORETTE 42420
03876470000019,81.10Z,A,65 AVENUE DE VERSAILLES PARIS 75016 5018 PARIS REP PAR
21191210000057,85.20Z,A,RUE DES ECOLES LUBERSAC 19210
21973353200168,85.20Z,A,QUA ABDALLAH MARIPASOULA 97370
12006002500489,84.13Z,A,17 BOULEVARD JOSEPH VALLIER GRENOBLE 38000
19211428800017,85.32Z,A,99 RUE DES BLANCHES FLEURS BEAUNE 21200
21410293100042,36.00Z,A,1 RUE BASSE COUR VILLIERSFAUX 41100 MAIRIE
13000285000035,85.42Z,A,7 BOULEVARD JOURDAN PARIS 75014 CITE UNIVERSITAIRE
20001505500086,85.20Z,A,PAREA HUAHINE 98731
30216882800069,01.49Z,A,2 ALLEE DE MOULIN LANDA FOULAYRONNES 47510
09938728400013,47.11B,A,QUA AMBANI M'TSANGAMOUJI 97650
30357879300034,68.20B,A,101 CHEMIN DES TUILERIES TOULOUSE 31400
21020127300039,37.00Z,A,21 ROUTE DE NOYON CAMELIN 02300 MAIRIE
21620274700061,36.00Z,A,22 RUE LEON GAMBETTA DOURGES 62119 MAIRIE
25740128100106,82.30Z,A,480 RUE RICHARD GURLEY DREW ARCHAMPS 74160
04387338900019,81.10Z,A,55 RUE EUGENE CARRIERE PARIS 75018 55-57
04231008600014,81.10Z,A,LES CONTAMINES-MONTJOIE 74170
21040149300049,85.20Z,A,2 RUE FERRY PEYRUIS 04310
04045580000017,81.10Z,A,31 RUE CENTRALE PONT-DE-CHERUY 38230
21310406000081,42.99Z,A,22 RUE DE SAVOIE PALAMINY 31220
21600158600454,88.91A,A,3 RUE DES CAPUCINS COMPIEGNE 60200
20005508500043,85.20Z,A,CHALMAZEL CHALMAZEL-JEANSAGNIERE 42920
17310231000989,84.11Z,A,19 AVENUE DE SABART TARASCON-SUR-ARIEGE 09400
04228392900018,81.10Z,A,29 RUE SOMMEILLER ANNECY 74000
19211557400019,85.31Z,A,RUE DE VILLEY SELONGEY 21260
21010246300010,84.11Z,A,6 PLACE DU MARCHE MEZERIAT 01660
21670506100077,42.99Z,A,12 RUE JEAN HOLWEG VENDENHEIM 67550 MAIRIE
30416291000042,35.11Z,A,1 RUE DU LAVOIR FLEE 72500
30132924900017,94.20Z,A,3 RUE DU CHATEAU D'EAU PARIS 75010
13002612300146,85.42Z,A,5 BOULEVARD DESCARTES CHAMPS-SUR-MARNE 77420 BAT COPERNIC
21390097000392,42.99Z,A,PL CH DE GAULLE 3 SEPTEMBRE CHAMPAGNOLE 39300 MAIRIE
20005338700011,36.00Z,A,LE BOURG ARGET 64410 MAIRIE
30371147700024,46.19B,A,LA GRANDE PORTE UNVERRE 28160
13001107501465,84.11Z,A,33 RUE PARMENTIER MONTREUIL 93100
21300321300088,42.99Z,A,27 QUAI FREDERIC GAUSSORGUES SOMMIERES 30250 MAIRIE
21680365000037,85.20Z,A,7 RUE DE LA 5EME DIVISION BLINDEE WETTOLSHEIM 68920
26560025400014,87.10A,A,RUE DE RENNES SAINT-JEAN-BREVELAY 56660
03925463600010,81.10Z,A,23 RUE CHAPON PARIS 75003
20010155800019,94.91Z,A,105 ROUTE NATIONALE GAMBSHEIM 67760
30194133200274,49.39A,A,15 PLACE DE LA GARE LAVAL 53000
02721085500022,01.61Z,A,CAUZAC 47470
25270442400016,84.12Z,A,24 RUE DE L’ABBAYE CORMEILLES 27260 MAIRIE
24890089600080,84.11Z,A,52 FAUBOURG DE VILLEPERROT PONT-SUR-YONNE 89140
30162977000027,68.20A,A,[ND] [ND] [ND] BAGNERES-DE-LUCHON [ND] [ND]
04010321000015,81.10Z,A,5 RUE DE L'ANCIENNE PREFECTURE LYON 69002
21590014300011,84.11Z,A,PLACE ROGER SALENGRO ANZIN 59410
19572182400017,85.31Z,A,42 RUE SCHELLENTHAL BITCHE 57230
21600465500165,85.10Z,A,55 RUE DE PARIS NOYON 60400
29020115100013,42.99Z,A,22 RUE DE LA LOUVIERE FONTAINE-LES-VERVINS 02140 MAIRIE
21160164600048,37.00Z,A,LE BOURG HIESSE 16490 MAIRIE
13000167000210,84.13Z,A,RTE D'ESCAUDES CAPTIEUX 33840 MOUCHAN
21920002900144,85.10Z,A,12 RUE PIERRE KOHLMANN ANTONY 92160
21840065300018,84.11Z,A,PLACE JOSEPH GARNIER LAURIS 84360 HOTEL DE VILLE
02704035100028,68.20B,A,33 BOULEVARD DUPONCHEL SAINT-CAST-LE-GUILDO 22380
03915301000010,81.10Z,A,1 RUE FREDERIC CHOPIN ANTONY 92160
02406500500019,47.11B,A,4 RUE DU CIMETIERE CHIRONGUI 97620 POROANI LOT 03
21790088500088,42.99Z,A,PLACE SAINT MARTIN CHICHE 79350 MAIRIE
21250062300021,85.20Z,A,1 RUE DE L'EGLISE LE BIZOT 25210
26920033300053,88.99B,A,44 ROUTE DU PAVE BLANC CLAMART 92140
21900010600308,85.20Z,A,13 AVENUE DES FRERES LUMIERE BELFORT 90000
18009006002993,88.91A,A,RUE DE LA POSTE BELIGNEUX 01360
21310113200206,52.21Z,A,AVENUE DE TOULOUSE CASTANET-TOLOSAN 31320 MAIRIE
21010233100027,36.00Z,A,MARCHAMP 01680 MAIRIE
21710352200017,84.11Z,A,LE PLANOIS 71330
21420211100032,85.20Z,A,18 RUE GERMAINE ROBIN SAINT-CYPRIEN 42160
29520095000018,42.99Z,A,4 PLACE PELLETIER ECLARON-BRAUCOURT-SAINTE-LIVIERE 52290 MAIRIE
21600104000015,84.11Z,A,RUE RAOUL HUCHEZ BRETEUIL 60120
20009650100016,94.91Z,A,2 RUE DE LA MAIRIE SOUFFELWEYERSHEIM 67460
24480013200031,36.00Z,A,LA BASTIDE-PUYLAURENT 48250 MAIRIE
03882712700010,81.10Z,A,85 BOULEVARD DE LA MARNE SAINT-MAUR-DES-FOSSES 94100
03899025500010,81.10Z,A,35 BOULEVARD BOURDON PARIS 75004 RIS REP PAR
21480034400092,41.20B,A,PLACE DU PRE COMMUN LA CANOURGUE 48500 MAIRIE
13002512500027,84.12Z,A,103 BOULEVARD DE LA LIBERTE LILLE 59800 CHU DE LILLE
21280301900034,36.00Z,A,RUE DU VILLAGE POISVILLIERS 28300 MAIRIE
21880461500068,42.99Z,A,34 PETITE RUE SURIAUVILLE 88140 MAIRIE
30391063200023,68.20A,A,CHASTREIX SANCY CHASTREIX 63680
03520163100013,81.10Z,A,RUE ROBERT SCHUMAN SAINT-GAUDENS 31800
30359668800026,90.03A,A,187 RUE SAINT-JACQUES PARIS 75005
21560137800015,84.11Z,A,5 PLACE DE LA MAIRIE MONTERBLANC 56250
21170034900015,84.11Z,A,5 ROUTE DE LA TREILLE BARZAN 17120
19941411100013,85.31Z,A,13 RUE MAURICE DUDRAGNE VILLIERS-SUR-MARNE 94350
26140097200129,88.99B,A,20 RUE ANDRE VAUBAILLON CONDE-EN-NORMANDIE 14110 CENTRE DE VAUBAILLON
03886763600011,81.10Z,A,3 RUE SAINT-SIMON CRETEIL 94000 3 A 11
13001423600017,84.13Z,A,POINTE DE JAHAM SCHOELCHER 97233
09585072300107,46.61Z,A,ROUTE DE CHARMONT FEUGES 10150
21340290200034,36.00Z,A,SAINT-VINCENT-DE-BARBEYRARGUES 34730 MAIRIE
30406583200038,68.20B,A,4 RUE ALPHONSE RIO ETEL 56410
03887865800012,81.10Z,A,AVENUE DE LA COMMUNE DE PARIS GARGES-LES-GONESSE 95140
26870651200012,87.10A,A,PLACE DE LEUN FEYTIAT 87220
21090156700011,84.11Z,A,LARNAT 09310
26330610200017,88.99B,A,MAIRIE LES ARTIGUES-DE-LUSSAC 33570
06870967400011,68.20B,A,34 BOULEVARD DES GRANDS PINS MARSEILLE 13010
30294553000012,94.99Z,A,2 RUE DE LA FONT LURE 70200 MAIRIE
04386904900015,81.10Z,A,49 RUE DU CARDINAL LEMOINE PARIS 75005 PARIS O.P.H.V.P.
21700337500037,37.00Z,A,MELIN 70120 MAIRIE
01956556300012,81.10Z,A,VARS 05560
20007247800031,38.11Z,A,9 AVENUE DE LA LIBERATION GUINES 62340 MINOTERIE BOUTOILLE
21540395700776,91.02Z,A,64 GRANDE RUE NANCY 54000
26760044300043,87.30A,A,RUE GUSTAVE FLAUBERT LE PETIT-QUEVILLY 76140
21790191700419,85.20Z,A,PLACE CONSTANT SABOUREAU NIORT 79000
21590663700099,96.03Z,A,PLACE DU GENERAL DE GAULLE WORMHOUT 59470 MAIRIE
03900215900018,81.10Z,A,12 RUE DENIS POISSON PARIS 75017
20006914400067,84.12Z,A,RTE DU LANGUEDOC PEYRE EN AUBRAC 48130
21310416900023,85.20Z,A,PEYSSIES 31390
12006402700663,84.13Z,A,AERODROME TOUSSUS LE NOBLE TOUSSUS-LE-NOBLE 78117 TOUR DE CONTROLE
17440230500422,84.11Z,A,10 RUE COLLINEAU CHANTONNAY 85110
21610260800108,42.99Z,A,LE BOURG LE MENIL-DE-BRIOUZE 61220
21730047400053,49.39C,A,BONNEVAL-SUR-ARC 73480 MAIRIE
21350092900087,68.20B,A,1 PLACE DE LA MAIRIE CUGUEN 35270 MAIRIE
01979441100017,81.10Z,A,17 RUE BENOIT BUNICO NICE 06300
21930055500576,85.20Z,A,47 RUE GABRIELLE JOSSERAND PANTIN 93500
20009627900019,84.11Z,A,26 ROUTE DE SAINT TRIVIER CURCIAT-DONGALON 01560 MAIRIE
29040119900010,42.99Z,A,LE VILLAGE BAYONS 04250 HOTEL DE VILLE
22920050600264,86.22C,A,56 RUE DU CAPITAINE GUYNEMER COURBEVOIE 92400
21920036700429,88.91A,A,2 RUE HECTOR BERLIOZ GENNEVILLIERS 92230
03891513800010,81.10Z,A,10 RUE DE L'ABBE GREGOIRE ISSY-LES-MOULINEAUX 92130 E 92 REP PAR
21550288100109,02.20Z,A,9 PLACE DE L’HOTEL DE VILLE LEROUVILLE 55200 MAIRIE
21250615800022,85.20Z,A,17 RUE DE L’EGLISE VILLARS-LES-BLAMONT 25310
04384580900011,81.10Z,A,35 AVENUE DE PARIS EAUBONNE 95600 E DE CESAR 95 BEAUCH
21130055303440,85.20Z,A,128 RUE DU GROUPE SCOLAIRE MARSEILLE 13012
21760453700019,84.11Z,A,358 RUE DES ECOLES MORGNY-LA-POMMERAYE 76750
03928525900014,81.10Z,A,101 RUE DE PRONY PARIS 75017 RIS REP PAR SARL CAB
17600131100081,87.90A,A,ALLEE DES SOUPIRS SENLIS 60300 CITE JUDICAIRE
21720181301142,91.01Z,A,RUE GAMBETTA LE MANS 72000
26450195800013,88.99B,A,LE BOURG GERMIGNY-DES-PRES 45110 MAIRIE
21370245900016,84.11Z,A,PLACE JACQUES DE BEAUNE SEMBLANCAY 37360
13001303000924,84.11Z,A,BOULEVARD DU COQ D'ARGENT AIX-EN-PROVENCE 13100 L'ATRIUM
30365069100031,90.03A,A,2 TRAVERSE MARIUS GIRAN LA SEYNE-SUR-MER 83500
20005862600017,88.99B,A,LE VILLAGE VAL D'ORONAYE 04530 MAIRIE
01982330100015,81.10Z,A,13 RUE SAINT-MICHEL MENTON 06500
04381247800014,81.10Z,A,25 PLACE DE LA MADELEINE PARIS 75008 N SCES FONCIERS DE P
30294541500016,94.99Z,A,LOMONT 70200
03929231300010,81.10Z,A,33 RUE DU COMMANDEUR PARIS 75014
21760178000059,85.20Z,A,4 RUE DES ECOLES CLEON 76410
30306090900015,94.99Z,A,PAROY-SUR-THOLON 89300
04390728600017,81.10Z,A,9 RUE LT VAISSEAU ESTIENNE ORVES MAISONS ALFORT 94700
21180257400031,68.20B,A,6 ROUTE DE LERE SURY-PRES-LERE 18240
30259085600035,45.20B,A,21 AVENUE DE LA FALAISE SASSENAGE 38360
21350180200010,84.11Z,A,2 PLACE CONSTANT GENDROT MINIAC-SOUS-BECHEREL 35190
03904158700013,81.10Z,A,31 RUE DAGUERRE PARIS 75014
30307545100029,64.20Z,A,22 AVENUE DE LA DIVISION LECLERC BOBIGNY 93000
03883390100010,81.10Z,A,2 RUE MALIBRAN CORMEILLES-EN-PARISIS 95240
03909872800015,81.10Z,A,70 RUE CORTAMBERT PARIS 75016 5004 PARIS REP PAR S
03923542900014,81.10Z,A,10 RUE FIRMIN GILLOT PARIS 75015
03935605000011,81.10Z,A,14 RUE CONSTANCE PARIS 75018
03926801600019,81.10Z,A,44 RUE DE LA BUTTE AUX CAILLES PARIS 75013
20008438200478,88.91B,A,26 RUE DU GENERAL LEMAIRE VERDUN 55100
05226384500019,81.10Z,A,51 RUE VOLTAIRE TOURS 37000
26820007800312,86.10Z,A,300 BOULEVARD HUBERT GOUZE MONTAUBAN 82000
30297152800013,55.10Z,A,14 RUE DU CHEVALIER DE SAINT-GEORGE PARIS 75001
30410361700029,10.82Z,A,58 COURS GEORGES CLEMENCEAU BORDEAUX 33000
21850191400459,96.03Z,A,PLACE DU THEATRE LA ROCHE-SUR-YON 85000 MAIRIE
21220344200018,84.11Z,A,1 PLACE DE LA MAIRIE TREBRIVAN 22340
20002531000018,42.99Z,A,13 RUE DU TILLEUL FERRIERES-LE-LAC 25470 MAIRIE
21770296800199,85.20Z,A,529 AVENUE DE L’EUROPE MOISSY-CRAMAYEL 77550
21640202400022,85.20Z,A,LE BOURG DOMEZAIN-BERRAUTE 64120
29060017000010,42.99Z,A,LA RIBIERRE GUILLAUMES 06470
21330104700030,85.20Z,A,5 AV AVENUE DU STADE CASTELNAU-DE-MEDOC 33480
21810224200011,84.11Z,A,LE RIOLS 81170
20005229800011,42.99Z,A,PL FORMIGE FREJUS 83370 MAIRIE
21270351600014,84.11Z,A,36 RUE DE LOUVIERS INCARVILLE 27400
20006264400048,85.20Z,A,21 GRANDE RUE LA DRENNE 60790
03873048700014,81.10Z,A,2 RUE ERNEST RENAN PARIS 75015
21120145400215,85.20Z,A,RUE PAUL RAMADIER MILLAU 12100
13001408700014,94.11Z,A,RUE FELIX EBOUE POINTE A PITRE 97110
20009142900023,37.00Z,A,ZONE ARTISANALE CHAUSSIN 39120
20000636900017,84.13Z,A,1 ROUTE DE PARIS CHATEAU-SUR-EPTE 27420
03933825600017,81.10Z,A,29 RUE DU TERRAGE PARIS 75010
21610457000041,37.00Z,A,LE BOURG SAINT-SYMPHORIEN-DES-BRUYERES 61300 MAIRIE
21200090500043,36.00Z,A,COGGIA 20118
21910103700246,88.91A,A,29 AVENUE EDOUARD BRANLY BRETIGNY-SUR-ORGE 91220 LA MARINIERE
03877015200015,81.10Z,A,27 AVENUE DE SAINT-GERMAIN MARLY-LE-ROI 78160
03881886000017,81.10Z,A,88 AVENUE DU GENERAL DE GAULLE SAINT-MANDE 94160 ENTON
21530192000017,84.11Z,A,12 RUE DU MAINE LA ROUAUDIERE 53390
01133941300012,81.10Z,A,46 RUE DE NABECOR NANCY 54000
21890042100015,84.11Z,A,BIERRY-LES-BELLES-FONTAINES 89420
20004783500315,86.10Z,A,AVENUE DE BELIGON ROCHEFORT 17300
21780423600347,85.20Z,A,11 BOULEVARD VAUBAN MONTIGNY-LE-BRETONNEUX 78180
20006683500014,84.11Z,A,PRO DE L AUBE ANGLURE 51260
21930001900383,86.21Z,A,5 RUE DU DOCTEUR PESQUE AUBERVILLIERS 93300
03918599600012,81.10Z,A,108 AV J B CLEMENT BOULOGNE BILLANCOURT 92100
29650704900017,42.99Z,A,LE VILLAGE SAUVETERRE 65700 MAIRIE
21450144700020,85.20Z,A,7 ROUTE DE SANDILLON FEROLLES 45150
30207716900522,96.03Z,A,142 CHEMIN LE CLOS DU HAUT OLLIOULES 83190
21100161500015,84.11Z,A,36 RUE PRINCIPALE LES GRANGES 10210
22490001900874,86.22C,A,7 PL CHAMP DE FOIRE BELLEVIGNE-EN-LAYON 49380 CENTRE SOCIAL NEUFBOURG
29740088900012,42.99Z,A,MORZINE 74110 MAIRIE
20001368800052,85.20Z,A,PK 28 3 TIAREI HITIAA O TE RA 98705
03887565400014,81.10Z,A,2 AVENUE JEANNE D'ARC ARCUEIL 94110 2-2B
21220308700086,42.99Z,A,14 PLACE DE L’ECOLE SAINT-JUVAT 22630 MAIRIE
21570019600144,88.99B,A,4 RUE PILATRE ROZIER MALANCOURT AMNEVILLE 57360
20008514000024,84.11Z,A,329 RTE DES CAQUETS ST-LAURENT-BAINS-LAVAL-AURELLE 07590
12002001102005,84.11Z,A,35 BOULEVARD ARISTIDE BRIAND MELUN 77000
03897047100017,81.10Z,A,20 RUE SAINT-NICOLAS PARIS 75012
01978251500019,81.10Z,A,66 BOULEVARD DE CIMIEZ NICE 06000
18008901305022,72.20Z,A,6 BOULEVARD GABRIEL DIJON 21000 UNIVERSITE DIJON-BAT GABRIEL
30072513200058,49.41B,A,AVENUE DU GENERAL DE GAULLE BASSENS 33530 LA BROUSTE
22350001800609,88.99B,A,13 AVENUE DE CUCILLE RENNES 35000
03894287600012,81.10Z,A,276 RUE DU GENERAL LECLERC ERMONT 95120
20005499700016,84.11Z,A,1 RUE DE LA MAIRIE LA FERTE-EN-OUCHE 61470
21720377700107,42.99Z,A,4 RUE DU MAINE VILLAINES-SOUS-MALICORNE 72270 MAIRIE
26210234600018,88.99B,A,MAIRIE VELARS-SUR-OUCHE 21370
21290012000032,36.00Z,A,BOURG BOLAZEC 29640 MAIRIE
20009342500011,94.91Z,A,5 AVENUE DMC MULHOUSE 68200
20006297400114,42.99Z,A,BOURG MILIZAC-GUIPRONVEL 29290 MAIRIE
22400001800172,88.10C,A,1276 AVENUE DE NONERES MONT-DE-MARSAN 40000
21560245900012,84.11Z,A,RUE PAUL LE BOURLAY SILFIAC 56480
03870920000018,81.10Z,A,2 SQUARE JEAN FALCK PARIS 75010 2 AU 4
30086612600042,68.20B,A,37 RUE NOTRE-DAME DE BON SECOURS COMPIEGNE 60200
07731106600011,47.29Z,A,LD LES DARBELAYS PRALOGNAN-LA-VANOISE 73710
30299790300067,93.12Z,A,FERME DE LA GLORIETTE BRUYERES-LE-CHATEL 91680
26440021900020,66.19A,A,12 RUE WALDECK ROUSSEAU BLAIN 44130
03933613600013,81.10Z,A,11 PASSAGE DU MONT CENIS PARIS 75018
21130055305502,85.20Z,A,126 BOULEVARD JEANNE D'ARC MARSEILLE 13005
26440275100012,88.99B,A,1 PLACE DE L’EGLISE CHATEAU-THEBAUD 44690 MAIRIE
20010257200019,84.11Z,A,46 RUE DU CENTRE RIVES-DU-FOUGERAIS 85410
26650263200018,88.99B,A,MAIRIE CLARENS 65300
30130960500410,65.12Z,A,141 AVENUE SALVADOR ALLENDE NIORT 79000 79031 NIORT CEDEX 9
21240352100066,37.00Z,A,7 RUE DES MOBILES DE COULMIERS RIBERAC 24600 MAIRIE
30006912700052,56.10A,A,17 RUE LAGRANGE PARIS 75005
21510407600041,85.20Z,A,9 RUE PERARD NOIZET PONTFAVERGER-MORONVILLIERS 51490
13000170400142,84.13Z,A,KER ANNA-MOREAC LOCMINE 56500
30002052600020,68.20B,A,ROUTE IMPERIALE COLLIOURE 66190
21380157400087,84.12Z,A,210 RUE DE L’EUROPE ESTRABLIN 38780 MAIRIE
13000715600024,84.13Z,A,132 BOULEVARD DE PARIS MARSEILLE 13003
26691017300167,86.90D,A,83 BOULEVARD AMBROISE CROIZAT VENISSIEUX 69200
05439031500015,86.21Z,A,ZI KAWENI MAMOUDZOU 97600 IMMEUBLE MEGA
25700067900023,84.12Z,A,6 RUE DES GRANGES SECENANS 70400 MAIRIE
13000170400068,84.13Z,A,POUILLOT CHATEAULIN 29150
26140097200194,88.99B,A,11 RUE SAINT MARTIN CONDE-EN-NORMANDIE 14110
21760351302041,45.20A,A,65 RUE DU CAPUCHET LE HAVRE 76620
09558084100328,49.50Z,A,RUE SAINT PIERRE DAX 40100
21860203500014,84.11Z,A,8 RUE DE LA MAIRIE QUEAUX 86150
21750001623052,86.21Z,A,47 RUE ARCHEREAU PARIS 75019
30292928600011,85.20Z,A,ROUTE DE MEYS HAUTE-RIVOIRE 69610 MR BERTHET PAUL
22470001300218,86.21Z,A,MAIRIE SEYCHES 47350
29570132000018,42.99Z,A,PLACE DU GENERAL DE GAULLE RECHICOURT-LE-CHATEAU 57810 MAIRIE
03923721900017,81.10Z,A,1 RUE CLAPEYRON PARIS 75008 P PAR SARL GURTNER
21260049800019,84.11Z,A,7 RUE DE LA LIBERTE BESAYES 26300
03910219900013,81.10Z,A,8 RUE DU MIDI NEUILLY-SUR-SEINE 92200 75005 PARIS REP PAR
21750001604672,85.20Z,A,12 RUE SAINT-LAMBERT PARIS 75015
30176340500240,21.20Z,A,903 ALLEE JEAN FERRAT MONTPON-MENESTEROL 24700 BIGOTAS EST
00802413500017,81.10Z,A,8 BOULEVARD LOUIS BLANC LIMOGES 87000
03915629400017,81.10Z,A,97 RUE DES FERMETTES CARRIERES-SUR-SEINE 78420 LES REP PAR
21974011501088,85.20Z,A,BOULEVARD DE LA SOURCE SAINT-DENIS 97400
30237141400020,66.22Z,A,42 RUE HENRI HUSSON LE MESNIL-SAINT-DENIS 78320
